REGION,ORDER TYPE,REASON,SEX,DATE,COUNT
East Midlands,Community order,Ran their full course,Female,2025Q3,106
East Midlands,Community order,Ran their full course,Male,2025Q3,527
East Midlands,Community order,Terminated early for good progress,Female,2025Q3,5
East Midlands,Community order,Terminated early for good progress,Male,2025Q3,46
East Midlands,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,13
East Midlands,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,85
East Midlands,Community order,Terminated early for conviction of an offence,Female,2025Q3,18
East Midlands,Community order,Terminated early for conviction of an offence,Male,2025Q3,89
East Midlands,Community order,Terminated early for other reasons,Female,2025Q3,7
East Midlands,Community order,Terminated early for other reasons,Male,2025Q3,44
East Midlands,Suspended sentence order,Ran their full course,Female,2025Q3,62
East Midlands,Suspended sentence order,Ran their full course,Male,2025Q3,430
East Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,3
East Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,45
East Midlands,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,15
East Midlands,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,73
East Midlands,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,4
East of England,Community order,Ran their full course,Female,2025Q3,183
East of England,Community order,Ran their full course,Male,2025Q3,779
East of England,Community order,Terminated early for good progress,Female,2025Q3,23
East of England,Community order,Terminated early for good progress,Male,2025Q3,102
East of England,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,15
East of England,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,141
East of England,Community order,Terminated early for conviction of an offence,Female,2025Q3,18
East of England,Community order,Terminated early for conviction of an offence,Male,2025Q3,100
East of England,Community order,Terminated early for other reasons,Female,2025Q3,11
East of England,Community order,Terminated early for other reasons,Male,2025Q3,58
East of England,Suspended sentence order,Ran their full course,Female,2025Q3,91
East of England,Suspended sentence order,Ran their full course,Male,2025Q3,614
East of England,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,8
East of England,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,57
East of England,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,16
East of England,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,95
East of England,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,c
East of England,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,9
Greater Manchester,Community order,Ran their full course,Female,2025Q3,141
Greater Manchester,Community order,Ran their full course,Male,2025Q3,596
Greater Manchester,Community order,Terminated early for good progress,Male,2025Q3,14
Greater Manchester,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,15
Greater Manchester,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,108
Greater Manchester,Community order,Terminated early for conviction of an offence,Female,2025Q3,22
Greater Manchester,Community order,Terminated early for conviction of an offence,Male,2025Q3,117
Greater Manchester,Community order,Terminated early for other reasons,Female,2025Q3,4
Greater Manchester,Community order,Terminated early for other reasons,Male,2025Q3,18
Greater Manchester,Suspended sentence order,Ran their full course,Female,2025Q3,55
Greater Manchester,Suspended sentence order,Ran their full course,Male,2025Q3,390
Greater Manchester,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,5
Greater Manchester,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,56
Greater Manchester,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,11
Greater Manchester,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,91
Greater Manchester,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,6
"Kent, Surrey and Sussex",Community order,Ran their full course,Female,2025Q3,106
"Kent, Surrey and Sussex",Community order,Ran their full course,Male,2025Q3,485
"Kent, Surrey and Sussex",Community order,Terminated early for good progress,Female,2025Q3,20
"Kent, Surrey and Sussex",Community order,Terminated early for good progress,Male,2025Q3,91
"Kent, Surrey and Sussex",Community order,Terminated early for failure to comply with requirements,Female,2025Q3,10
"Kent, Surrey and Sussex",Community order,Terminated early for failure to comply with requirements,Male,2025Q3,67
"Kent, Surrey and Sussex",Community order,Terminated early for conviction of an offence,Female,2025Q3,13
"Kent, Surrey and Sussex",Community order,Terminated early for conviction of an offence,Male,2025Q3,80
"Kent, Surrey and Sussex",Community order,Terminated early for other reasons,Female,2025Q3,5
"Kent, Surrey and Sussex",Community order,Terminated early for other reasons,Male,2025Q3,23
"Kent, Surrey and Sussex",Suspended sentence order,Ran their full course,Female,2025Q3,50
"Kent, Surrey and Sussex",Suspended sentence order,Ran their full course,Male,2025Q3,311
"Kent, Surrey and Sussex",Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,5
"Kent, Surrey and Sussex",Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,35
"Kent, Surrey and Sussex",Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,5
"Kent, Surrey and Sussex",Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,74
"Kent, Surrey and Sussex",Suspended sentence order,Terminated early for other reasons,Male,2025Q3,9
London,Community order,Ran their full course,Female,2025Q3,140
London,Community order,Ran their full course,Male,2025Q3,927
London,Community order,Terminated early for good progress,Female,2025Q3,10
London,Community order,Terminated early for good progress,Male,2025Q3,58
London,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,26
London,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,154
London,Community order,Terminated early for conviction of an offence,Female,2025Q3,18
London,Community order,Terminated early for conviction of an offence,Male,2025Q3,130
London,Community order,Terminated early for other reasons,Female,2025Q3,5
London,Community order,Terminated early for other reasons,Male,2025Q3,47
London,Suspended sentence order,Ran their full course,Female,2025Q3,84
London,Suspended sentence order,Ran their full course,Male,2025Q3,825
London,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,4
London,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,78
London,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,14
London,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,133
London,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,c
London,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,21
National Security Division,Community order,Ran their full course,Male,2025Q3,c
National Security Division,Community order,Terminated early for good progress,Male,2025Q3,c
National Security Division,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,c
National Security Division,Community order,Terminated early for conviction of an offence,Male,2025Q3,c
National Security Division,Community order,Terminated early for other reasons,Male,2025Q3,c
North East,Community order,Ran their full course,Female,2025Q3,95
North East,Community order,Ran their full course,Male,2025Q3,373
North East,Community order,Terminated early for good progress,Female,2025Q3,5
North East,Community order,Terminated early for good progress,Male,2025Q3,45
North East,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,15
North East,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,78
North East,Community order,Terminated early for conviction of an offence,Female,2025Q3,20
North East,Community order,Terminated early for conviction of an offence,Male,2025Q3,125
North East,Community order,Terminated early for other reasons,Female,2025Q3,c
North East,Community order,Terminated early for other reasons,Male,2025Q3,30
North East,Suspended sentence order,Ran their full course,Female,2025Q3,37
North East,Suspended sentence order,Ran their full course,Male,2025Q3,290
North East,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,3
North East,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,31
North East,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,9
North East,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,82
North East,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,17
North West,Community order,Ran their full course,Female,2025Q3,220
North West,Community order,Ran their full course,Male,2025Q3,891
North West,Community order,Terminated early for good progress,Female,2025Q3,7
North West,Community order,Terminated early for good progress,Male,2025Q3,42
North West,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,36
North West,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,114
North West,Community order,Terminated early for conviction of an offence,Female,2025Q3,38
North West,Community order,Terminated early for conviction of an offence,Male,2025Q3,156
North West,Community order,Terminated early for other reasons,Female,2025Q3,11
North West,Community order,Terminated early for other reasons,Male,2025Q3,47
North West,Suspended sentence order,Ran their full course,Female,2025Q3,118
North West,Suspended sentence order,Ran their full course,Male,2025Q3,575
North West,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,11
North West,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,60
North West,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,21
North West,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,112
North West,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,5
North West,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,13
South Central,Community order,Ran their full course,Female,2025Q3,74
South Central,Community order,Ran their full course,Male,2025Q3,412
South Central,Community order,Terminated early for good progress,Female,2025Q3,23
South Central,Community order,Terminated early for good progress,Male,2025Q3,130
South Central,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,12
South Central,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,80
South Central,Community order,Terminated early for conviction of an offence,Female,2025Q3,22
South Central,Community order,Terminated early for conviction of an offence,Male,2025Q3,80
South Central,Community order,Terminated early for other reasons,Female,2025Q3,3
South Central,Community order,Terminated early for other reasons,Male,2025Q3,41
South Central,Suspended sentence order,Ran their full course,Female,2025Q3,39
South Central,Suspended sentence order,Ran their full course,Male,2025Q3,305
South Central,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,3
South Central,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,16
South Central,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,5
South Central,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,51
South Central,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,6
South West,Community order,Ran their full course,Female,2025Q3,131
South West,Community order,Ran their full course,Male,2025Q3,648
South West,Community order,Terminated early for good progress,Female,2025Q3,12
South West,Community order,Terminated early for good progress,Male,2025Q3,95
South West,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,22
South West,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,96
South West,Community order,Terminated early for conviction of an offence,Female,2025Q3,28
South West,Community order,Terminated early for conviction of an offence,Male,2025Q3,141
South West,Community order,Terminated early for other reasons,Female,2025Q3,15
South West,Community order,Terminated early for other reasons,Male,2025Q3,57
South West,Suspended sentence order,Ran their full course,Female,2025Q3,52
South West,Suspended sentence order,Ran their full course,Male,2025Q3,331
South West,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,6
South West,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,29
South West,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,8
South West,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,60
South West,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,c
South West,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,6
Wales,Community order,Ran their full course,Female,2025Q3,120
Wales,Community order,Ran their full course,Male,2025Q3,430
Wales,Community order,Terminated early for good progress,Female,2025Q3,13
Wales,Community order,Terminated early for good progress,Male,2025Q3,70
Wales,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,8
Wales,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,40
Wales,Community order,Terminated early for conviction of an offence,Female,2025Q3,34
Wales,Community order,Terminated early for conviction of an offence,Male,2025Q3,132
Wales,Community order,Terminated early for other reasons,Female,2025Q3,3
Wales,Community order,Terminated early for other reasons,Male,2025Q3,27
Wales,Suspended sentence order,Ran their full course,Female,2025Q3,78
Wales,Suspended sentence order,Ran their full course,Male,2025Q3,340
Wales,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,3
Wales,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,36
Wales,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,14
Wales,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,89
Wales,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,c
Wales,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,5
West Midlands,Community order,Ran their full course,Female,2025Q3,156
West Midlands,Community order,Ran their full course,Male,2025Q3,688
West Midlands,Community order,Terminated early for good progress,Female,2025Q3,18
West Midlands,Community order,Terminated early for good progress,Male,2025Q3,126
West Midlands,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,25
West Midlands,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,97
West Midlands,Community order,Terminated early for conviction of an offence,Female,2025Q3,21
West Midlands,Community order,Terminated early for conviction of an offence,Male,2025Q3,120
West Midlands,Community order,Terminated early for other reasons,Female,2025Q3,8
West Midlands,Community order,Terminated early for other reasons,Male,2025Q3,33
West Midlands,Suspended sentence order,Ran their full course,Female,2025Q3,79
West Midlands,Suspended sentence order,Ran their full course,Male,2025Q3,560
West Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,6
West Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,56
West Midlands,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,6
West Midlands,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,107
West Midlands,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,c
West Midlands,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,9
Yorkshire and the Humber,Community order,Ran their full course,Female,2025Q3,211
Yorkshire and the Humber,Community order,Ran their full course,Male,2025Q3,690
Yorkshire and the Humber,Community order,Terminated early for good progress,Female,2025Q3,33
Yorkshire and the Humber,Community order,Terminated early for good progress,Male,2025Q3,188
Yorkshire and the Humber,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,29
Yorkshire and the Humber,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,201
Yorkshire and the Humber,Community order,Terminated early for conviction of an offence,Female,2025Q3,72
Yorkshire and the Humber,Community order,Terminated early for conviction of an offence,Male,2025Q3,282
Yorkshire and the Humber,Community order,Terminated early for other reasons,Female,2025Q3,7
Yorkshire and the Humber,Community order,Terminated early for other reasons,Male,2025Q3,33
Yorkshire and the Humber,Suspended sentence order,Ran their full course,Female,2025Q3,79
Yorkshire and the Humber,Suspended sentence order,Ran their full course,Male,2025Q3,619
Yorkshire and the Humber,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,8
Yorkshire and the Humber,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,85
Yorkshire and the Humber,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,14
Yorkshire and the Humber,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,131
Yorkshire and the Humber,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,c
Yorkshire and the Humber,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,9
